Compress_17,TarUtils,TarArchiveInputStreamTest
Compress_19,Zip64ExtendedInformationExtraField,ZipFileTest
Compress_22,BZip2CompressorInputStream,PythonTruncatedBzip2Test
Compress_23,Coders,SevenZFileTest
Compress_35,TarUtils,DetectArchiverTestCase
Compress_38,TarArchiveEntry,TarArchiveInputStreamTest
Compress_43,ZipArchiveOutputStream,DataDescriptorTest
Csv_1,ExtendedBufferedReader,CSVParserTest
Csv_5,CSVPrinter,CSVFormatTest
Csv_14,CSVFormat,CSVPrinterTest
Csv_15,CSVFormat,CSVPrinterTest
Gson_1,TypeInfoFactory,TypeVariableTest
Gson_3,ConstructorConstructor,MapTest
Gson_5,ISO8601Utils,DefaultDateTypeAdapterTest
Gson_6,JsonAdapterAnnotationTypeAdapterFactory,JsonAdapterNullSafeTest
Gson_10,ReflectiveTypeAdapterFactory,JsonAdapterAnnotationOnFieldsTest
Gson_11,TypeAdapters,PrimitiveTest
JacksonCore_1,TextBuffer|NumberInput,TestParserNonStandard
JacksonCore_2,UTF8StreamJsonParser|ReaderBasedJsonParser,TestParserErrorHandling
JacksonCore_3,UTF8StreamJsonParser,TestLocation
JacksonCore_7,JsonWriteContext,GeneratorFailTest
JacksonCore_9,ParserMinimalBase|UTF8StreamJsonParser|ReaderBasedJsonParser,TestJsonParser
JacksonCore_10,ByteQuadsCanonicalizer,TestSymbolTables|TestByteBasedSymbols
JacksonCore_11,ByteQuadsCanonicalizer,SymbolsViaParserTest
JacksonCore_12,UTF8StreamJsonParser|ReaderBasedJsonParser,LocationInObjectTest
JacksonCore_13,JsonGeneratorImpl,TestJsonGeneratorFeatures
JacksonCore_15,FilteringParserDelegate,BasicParserFilteringTest
JacksonCore_16,JsonParserSequence,ParserSequenceTest
JacksonCore_17,UTF8JsonGenerator,RawValueWithSurrogatesTest
JacksonCore_18,GeneratorBase|UTF8JsonGenerator|WriterBasedJsonGenerator,TestJsonGeneratorFeatures
JacksonCore_19,UTF8StreamJsonParser|ReaderBasedJsonParser,TestNumericValues
JacksonCore_20,JsonGenerator,Base64GenerationTest|TestGeneratorMisc
JacksonCore_21,FilteringParserDelegate,TokenVerifyingParserFiltering330Test
JacksonCore_22,FilteringParserDelegate,BasicParserFilteringTest
JacksonCore_24,ParserBase|ParserMinimalBase,NumberOverflowTest|AsyncNumberCoercionTest|NumberCoercionTest|NumberParsingTest
JacksonCore_25,ReaderBasedJsonParser,NonStandardUnquotedNamesTest
JacksonCore_26,NonBlockingJsonParser,AsyncLocationTest
JacksonDatabind_1,BeanPropertyWriter,TestPOJOAsArray
JacksonDatabind_2,TokenBuffer,TestConversions
JacksonDatabind_3,StringArrayDeserializer,TestArrayDeserialization
JacksonDatabind_4,StringArrayDeserializer,TestCollectionDeserialization
JacksonDatabind_5,AnnotatedClass,TestMixinMerging
JacksonDatabind_6,StdDateFormat,TestDateDeserialization
JacksonDatabind_7,TokenBuffer,TestCreatorsDelegating
JacksonDatabind_8,CreatorCollector,TestJdkTypes
JacksonDatabind_9,StdKeySerializer,TestMapSerialization
JacksonDatabind_10,BeanSerializerFactory|AnyGetterWriter,TestAnyGetter
JacksonDatabind_11,TypeFactory,TestJavaType|TestLocalType609
JacksonDatabind_12,MapDeserializer,TestCustomDeserializers
JacksonDatabind_13,ObjectIdValueProperty|DefaultDeserializationContext,TestObjectIdDeserialization
JacksonDatabind_14,ObjectReader,TestUpdateValue
JacksonDatabind_16,AnnotationMap,MixinsWithBundlesTest
JacksonDatabind_17,ObjectMapper,TestJsonNode
JacksonDatabind_18,MappingIterator,ReadRecoveryTest
JacksonDatabind_22,BasicSerializerFactory|BeanSerializerFactory,TestJsonValue
JacksonDatabind_23,NumberSerializers,TestJsonSerialize2
JacksonDatabind_24,BaseSettings,TestConfig
JacksonDatabind_25,DeserializerCache|BasicDeserializerFactory|TypeDeserializerBase|SimpleAbstractTypeResolver,TestArrayDeserialization
JacksonDatabind_27,BeanDeserializer,TestExternalId
JacksonDatabind_28,JsonNodeDeserializer,TestObjectNode
JacksonDatabind_29,ExternalTypeHandler,TestExternalId
JacksonDatabind_30,ObjectMapper|TokenBuffer,TestExternalId
JacksonDatabind_32,UntypedObjectDeserializer,TestUntypedDeserialization
JacksonDatabind_33,JacksonAnnotationIntrospector,TestUnwrapped
JacksonDatabind_34,NumberSerializer,NewSchemaTest
JacksonDatabind_35,AsWrapperTypeDeserializer,WrapperObjectWithObjectIdTest
JacksonDatabind_37,SimpleType,Objecid1083Test
JacksonDatabind_38,MapType|SimpleType|CollectionType,DeprecatedTypeHandling1102Test
JacksonDatabind_39,NullifyingDeserializer,TestPolymorphicWithDefaultImpl
JacksonDatabind_40,NumberDeserializers,TestSimpleTypes
JacksonDatabind_41,TypeFactory,DeprecatedTypeHandling1102Test
JacksonDatabind_42,FromStringDeserializer,TestJdkTypes
JacksonDatabind_43,ObjectIdValueProperty,TestObjectIdSerialization
JacksonDatabind_44,SimpleType,TestSubtypes
JacksonDatabind_45,DateTimeSerializerBase,DateSerializationTest
JacksonDatabind_46,ReferenceType,TestJavaType
JacksonDatabind_47,AnnotationIntrospector,TestJsonSerialize|TestJsonSerializeAs
JacksonDatabind_48,SerializationConfig|DeserializationConfig,TestFeatures
JacksonDatabind_49,WritableObjectId,AlwaysAsReferenceFirstTest
JacksonDatabind_50,BeanDeserializer,ObjectWithCreator1261Test
JacksonDatabind_51,TypeDeserializerBase,TestCustomTypeIdResolver
JacksonDatabind_54,PropertyBuilder,TestJDKAtomicTypes
JacksonDatabind_55,StdKeySerializers,TestEnumSerialization
JacksonDatabind_56,FromStringDeserializer,TestJdkTypes
JacksonDatabind_57,ObjectReader,ReadValuesTest
JacksonDatabind_58,BeanDeserializerFactory,AccessFixTest
JacksonDatabind_60,JsonValueSerializer,TestDefaultWithCreators|ExternalTypeIdTest
JacksonDatabind_61,ObjectMapper|StdTypeResolverBuilder,DefaultTypingWithPrimitivesTest
JacksonDatabind_62,CollectionDeserializer,ArrayDelegatorCreatorForCollectionTest
JacksonDatabind_63,JsonMappingException,TestExceptionHandlingWithDefaultDeserialization|ExceptionPathTest|TestExceptionHandlingWithJsonCreatorDeserialization
JacksonDatabind_64,PropertyBuilder,JsonIncludeTest
JacksonDatabind_65,BasicBeanDescription|StdKeyDeserializer,KeyDeser1429Test
JacksonDatabind_66,StdKeyDeserializer,TestCustomEnumKeyDeserializer
JacksonDatabind_67,BasicDeserializerFactory,TestCustomEnumKeyDeserializer
JacksonDatabind_68,BeanDeserializerBase,SingleValueAsArrayTest
JacksonDatabind_69,CreatorCollector,Creator1476Test
JacksonDatabind_70,BeanPropertyMap,TestUnwrapped
JacksonDatabind_71,StdKeyDeserializer,TestMapDeserialization
JacksonDatabind_72,InnerClassProperty,InnerClassCreatorTest
JacksonDatabind_73,POJOPropertiesCollector|POJOPropertyBuilder,ReadOrWriteOnlyTest
JacksonDatabind_74,AsPropertyTypeDeserializer,TestPolymorphicWithDefaultImpl
JacksonDatabind_75,EnumSerializer,EnumFormatShapeTest
JacksonDatabind_76,BuilderBasedDeserializer,BuilderWithUnwrappedTest
JacksonDatabind_77,BeanDeserializerFactory,IllegalTypesCheckTest
JacksonDatabind_78,BeanDeserializerFactory,IllegalTypesCheckTest
JacksonDatabind_79,ObjectIdInfo|JacksonAnnotationIntrospector|BeanSerializerBase,AlwaysAsReferenceFirstTest
JacksonDatabind_80,StdSubtypeResolver,TestTypeNames
JacksonDatabind_81,JacksonAnnotationIntrospector,TypeCoercion1592Test
JacksonDatabind_82,BeanDeserializerFactory,IgnorePropertyOnDeserTest
JacksonDatabind_83,FromStringDeserializer,ProblemHandlerTest
JacksonDatabind_84,ResolvedRecursiveType,TestTypeFactoryWithRecursiveTypes
JacksonDatabind_85,DateTimeSerializerBase,DateSerializationTest
JacksonDatabind_86,ResolvedRecursiveType,TestTypeFactoryWithRecursiveTypes|RecursiveTypeTest
JacksonDatabind_87,StdDateFormat,TestDateDeserialization
JacksonDatabind_88,ClassNameIdResolver,GenericTypeId1735Test
JacksonDatabind_90,ValueInstantiator|StdValueInstantiator,DelegatingArrayCreator1804Test
JacksonDatabind_91,DeserializerCache,MapDeserializerCachingTest
JacksonDatabind_93,SubTypeValidator,IllegalTypesCheckTest
JacksonDatabind_94,SubTypeValidator,IllegalTypesCheckTest
JacksonDatabind_96,BasicDeserializerFactory,CreatorWithNamingStrategyTest
JacksonDatabind_98,ExternalTypeHandler,ExternalTypeIdWithEnum1328Test
JacksonDatabind_99,ReferenceType,TestTypeFactory
JacksonDatabind_100,TreeTraversingParser,TestConversions
JacksonDatabind_101,BeanDeserializer,TestUnwrapped
JacksonDatabind_102,DateTimeSerializerBase,SqlDateSerializationTest
JacksonDatabind_104,StdDateFormat,DateSerializationTest
JacksonDatabind_105,JdkDeserializers,JDKScalarsTest
JacksonDatabind_107,TypeDeserializerBase,ProblemHandlerUnknownTypeId2221Test
JacksonDatabind_108,ObjectReader,EmptyContentAsTreeTest
JacksonDatabind_109,NumberSerializers|NumberSerializer,BigDecimalPlain2230Test
JacksonDatabind_110,JavaUtilCollectionsDeserializers,UtilCollectionsTypesTest
JacksonDatabind_111,ObjectIdReferenceProperty|FieldProperty|AtomicReferenceDeserializer|SetterlessProperty|CreatorProperty|MethodProperty|ObjectIdValueProperty,JDKAtomicTypesDeserTest
JacksonDatabind_112,StringCollectionDeserializer,DelegatingArrayCreator2324Test
JacksonXml_1,FromXmlParser,NestedUnwrappedListsTest|NestedUnwrappedLists180Test
JacksonXml_2,XmlTokenStream,XmlTextTest
JacksonXml_3,FromXmlParser,XmlParserNextXxxTest
JacksonXml_4,XmlSerializerProvider,RootNameTest
JacksonXml_5,XmlSerializerProvider,MapperCopyTest
JacksonXml_6,ToXmlGenerator,TestBinaryStreamToXMLSerialization
Jsoup_1,Document,ParserTest
Jsoup_8,Node,ElementTest
Jsoup_14,TokeniserState|Tokeniser,ParserTest
Jsoup_15,TreeBuilderState,ParserTest
Jsoup_19,Whitelist,CleanerTest
Jsoup_21,CombiningEvaluator|QueryParser,SelectorTest
Jsoup_24,TokeniserState,HtmlParserTest
Jsoup_33,HtmlTreeBuilder,HtmlParserTest
Jsoup_35,HtmlTreeBuilderState,HtmlParserTest
Jsoup_38,HtmlTreeBuilderState,HtmlParserTest
Jsoup_44,TreeBuilder,HtmlParserTest
Jsoup_45,HtmlTreeBuilder,HtmlParserTest
Jsoup_46,Entities,DocumentTest
Jsoup_49,Node,ElementTest
Jsoup_51,CharacterReader,HtmlParserTest
Jsoup_53,TokenQueue,SelectorTest
Jsoup_55,TokeniserState,AttributeParseTest
Jsoup_57,Attributes,ElementTest
Jsoup_59,Token,HtmlParserTest|CleanerTest
Jsoup_62,HtmlTreeBuilderState,HtmlParserTest
Jsoup_63,Tokeniser|HtmlTreeBuilder,HtmlParserTest
Jsoup_64,HtmlTreeBuilderState,HtmlParserTest
Jsoup_65,HtmlTreeBuilderState|HtmlTreeBuilder,HtmlParserTest
Jsoup_68,HtmlTreeBuilder,HtmlParserTest
Jsoup_74,StringUtil,ElementTest
Jsoup_75,Attributes,ElementTest
Jsoup_76,HtmlTreeBuilderState,HtmlParserTest
Jsoup_78,DataUtil,ConnectTest
Jsoup_79,LeafNode,TextNodeTest
Jsoup_82,DataUtil,HtmlParserTest
Jsoup_86,Comment,XmlTreeBuilderTest
Jsoup_91,UncheckedIOException|CharacterReader,ParseTest|ConnectTest
