Closure_106,GlobalNamespace|JSDocInfoBuilder,CollapsePropertiesTest|CheckSideEffectsTest
Closure_112,TypeInference,TypeCheckTest
Closure_113,ProcessClosurePrimitives,VarCheckTest
Closure_115,FunctionInjector,InlineFunctionsTest
Closure_117,TypeValidator,TypeCheckTest
Closure_119,GlobalNamespace,CheckGlobalNamesTest
Closure_120,ReferenceCollectingCallback,InlineVariablesTest
Closure_122,IRFactory,ParserTest
Closure_123,CodeGenerator,CodePrinterTest
Closure_128,CodeGenerator,CodePrinterTest
Closure_129,PrepareAst,IntegrationTest
Closure_131,TokenStream,ConvertToDottedPropertiesTest
Closure_140,Compiler,CrossModuleCodeMotionTest
Closure_145,CodeGenerator,CodePrinterTest
Closure_146,JSType,SemanticReverseAbstractInterpreterTest
Closure_152,FunctionType,TypeCheckTest
Closure_154,TypeValidator|ControlFlowAnalysis|JSTypeRegistry,TypeCheckTest
Closure_160,Compiler,CommandLineRunnerTest
Closure_164,FunctionParamBuilder|ArrowType,LooseTypeCheckTest|TypeCheckTest|FunctionTypeTest
Closure_165,RecordType|JSType|JSTypeExpression|TypeInferencePass|JsDocInfoParser|RecordTypeBuilder|ComposeWarningsGuard|InstanceObjectType|ControlFlowAnalysis|JSDocInfoBuilder|JSTypeRegistry|CompilerInput|JsAst|UnknownType|WarningsGuard,TypeCheckTest
Closure_166,PrototypeObjectType,TypeInferenceTest
Closure_172,TypedScopeCreator,TypeCheckTest
Closure_176,TypeInference,TypeCheckTest
Lang_6,CharSequenceTranslator,StringUtilsTest
Lang_17,CharSequenceTranslator,StringEscapeUtilsTest
Lang_34,ToStringStyle,ToStringBuilderTest
Lang_42,Entities,StringEscapeUtilsTest
Math_7,AbstractIntegrator,DormandPrince853IntegratorTest
Math_10,DSCompiler,DerivativeStructureTest
Math_13,AbstractLeastSquaresOptimizer,PolynomialFitterTest
Math_14,Weight,PolynomialFitterTest
Math_31,ContinuedFraction,FDistributionTest|BinomialDistributionTest
Math_33,SimplexTableau,SimplexSolverTest
Math_39,EmbeddedRungeKuttaIntegrator,DormandPrince853IntegratorTest
Math_42,SimplexTableau,SimplexSolverTest
Math_44,AbstractIntegrator,EventStateTest
Math_48,BaseSecantSolver,RegulaFalsiSolverTest
Math_49,OpenMapRealVector,SparseRealVectorTest
Math_50,BaseSecantSolver,RegulaFalsiSolverTest
Math_51,BaseSecantSolver,RegulaFalsiSolverTest
Math_64,LevenbergMarquardtOptimizer,MinpackTest
Math_65,AbstractLeastSquaresOptimizer,LevenbergMarquardtOptimizerTest
Math_68,LevenbergMarquardtOptimizer,MinpackTest
Math_74,EmbeddedRungeKuttaIntegrator,AdamsMoultonIntegratorTest
Math_79,MathUtils,KMeansPlusPlusClustererTest
Math_83,SimplexTableau,SimplexSolverTest
Math_85,UnivariateRealSolverUtils,NormalDistributionTest
Math_87,SimplexTableau,SimplexSolverTest
Math_88,SimplexTableau,SimplexSolverTest
Mockito_7,GenericMetadataSupport,DeepStubFailingWhenGenricNestedAsRawTypeTest
Mockito_9,CallsRealMethods,CreatingMocksWithConstructorTest
Mockito_13,ReturnsEmptyValues|MockHandler|MethodInterceptorFilter,VerifyingWithAnExtraCallToADifferentMockTest
Mockito_14,ThreadSafeMockingProgress|MockitoCore|ClassImposterizer|MockHandler,VerifyingWithAnExtraCallToADifferentMockTest
Mockito_15,FinalMockCandidateFilter|ClassImposterizer|FieldReader|NameBasedCandidateFilter|MockCreationValidator|SearchingClassLoader,InjectMocksShouldTryPropertySettersFirstBeforeFieldAccessTest
Mockito_19,FinalMockCandidateFilter|DefaultRegisteredInvocations|TypeBasedCandidateFilter|ThreadSafeMockingProgress|PluginLoader|FieldReader|NameBasedCandidateFilter|MockitoAnnotations|SearchingClassLoader|PropertyAndSetterInjection|GloballyConfiguredAnswer|ArgumentMatcherStorageImpl|MatchersBinder|LenientCopyTool|MockSettingsImpl|Checks,MockInjectionUsingSetterOrPropertyTest
Mockito_20,ByteBuddyMockMaker|CachingMockBytecodeGenerator|NullResultGuardian,SpyAnnotationTest|CreatingMocksWithConstructorTest
Mockito_27,MockUtil,ListenersLostOnResetMockTest
Mockito_32,VerificationDataImpl|SmartPrinter|SpyAnnotationEngine|ThreadSafeMockingProgress|SearchingClassLoader|MatchersBinder|MethodInterceptorFilter|InvocationMatcher,SpyShouldHaveNiceNameTest
Mockito_33,InvocationMatcher,InheritedGenericsPolimorphicCallTest
Time_6,GJChronology,TestGJDate
Time_10,BaseSingleFieldPeriod,TestDays|TestMonths
Time_13,PeriodFormatterBuilder,TestISOPeriodFormat
Time_22,BasePeriod,TestPeriod_Constructors|TestDuration_Basics
Time_24,DateTimeParserBucket,TestDateTimeFormatter
Cli_1,CommandLine|Parser|OptionBuilder|Option,BugCLI13Test
Cli_2,PosixParser,BugCLI51Test
Cli_3,TypeHandler,PatternOptionBuilderTest
Cli_9,Parser,ParseRequiredTest|OptionsTest
Cli_10,Parser,ParseRequiredTest
Cli_13,WriteableCommandLineImpl|ArgumentImpl,BugLoopingOptionLookAlikeTest
Cli_14,GroupImpl,BugCLI144Test
Cli_15,WriteableCommandLineImpl|ParentImpl,BugCLI158Test
Cli_21,WriteableCommandLineImpl|GroupImpl,BugCLI150Test
Cli_23,HelpFormatter,BugCLI162Test
Cli_24,HelpFormatter,BugCLI162Test
Cli_25,HelpFormatter,BugCLI162Test
Cli_27,OptionValidator|OptionGroup,GnuParserTest|PosixParserTest|BasicParserTest
Cli_28,Parser,ValueTest
Cli_35,Options,BugCLI252Test
Cli_37,DefaultParser,BugCLI265Test
Cli_38,DefaultParser,BugCLI265Test
Cli_39,TypeHandler,PatternOptionBuilderTest
Compress_1,CpioArchiveOutputStream,CpioTestCase
Compress_3,TarArchiveOutputStream,ArchiveOutputStreamTest
Compress_5,ZipArchiveInputStream,Maven221MultiVolumeTest
Compress_12,TarArchiveInputStream,TarTestCase
Compress_13,ZipArchiveEntry,ZipArchiveInputStreamTest|ZipFileTest
Compress_14,TarUtils,TarArchiveInputStreamTest
Compress_17,TarUtils,TarArchiveInputStreamTest
Compress_19,Zip64ExtendedInformationExtraField,ZipFileTest
Compress_23,ChecksumVerifyingInputStream|Coders,SevenZFileTest
Compress_35,TarUtils,DetectArchiverTestCase
Compress_38,TarArchiveEntry,TarArchiveInputStreamTest
Compress_43,ZipArchiveOutputStream,DataDescriptorTest
Csv_1,ExtendedBufferedReader,CSVParserTest
Csv_5,CSVPrinter,CSVFormatTest
Csv_14,CSVFormat,CSVPrinterTest
Csv_15,CSVFormat,CSVPrinterTest
Gson_3,ConstructorConstructor,MapTest
Gson_5,ISO8601Utils,DefaultDateTypeAdapterTest
Gson_10,ReflectiveTypeAdapterFactory,JsonAdapterAnnotationOnFieldsTest
Gson_11,TypeAdapters,PrimitiveTest
JacksonCore_1,NumberInput,TestParserNonStandard
JacksonCore_2,UTF8StreamJsonParser|ReaderBasedJsonParser,TestParserErrorHandling
JacksonCore_3,UTF8StreamJsonParser,TestLocation
JacksonCore_7,JsonWriteContext,GeneratorFailTest
JacksonCore_10,ByteQuadsCanonicalizer,TestByteBasedSymbols|TestSymbolTables
JacksonCore_11,ByteQuadsCanonicalizer,SymbolsViaParserTest
JacksonCore_12,ReaderBasedJsonParser,LocationInObjectTest
JacksonCore_17,UTF8JsonGenerator,RawValueWithSurrogatesTest
JacksonCore_18,WriterBasedJsonGenerator,TestJsonGeneratorFeatures
JacksonCore_19,ReaderBasedJsonParser,TestNumericValues
JacksonCore_20,JsonGenerator,Base64GenerationTest|TestGeneratorMisc
JacksonDatabind_2,TokenBuffer,TestConversions
JacksonDatabind_4,BeanSerializer|AbstractDeserializer|ClassKey|StdSerializer|UnresolvedForwardReference|DefaultSerializerProvider|SerializerFactoryConfig|HierarchicType|BeanDescription|MappingJsonFactory|StringArrayDeserializer,TestCollectionDeserialization
JacksonDatabind_5,AnnotatedClass,TestMixinMerging
JacksonDatabind_6,StdDateFormat|BeanDeserializerFactory,TestDateDeserialization
JacksonDatabind_7,TokenBuffer,TestCreatorsDelegating
JacksonDatabind_8,CreatorCollector,TestJdkTypes
JacksonDatabind_9,NonTypedScalarSerializerBase|StringDeserializer|StdKeySerializer|ArrayIterator|AnnotationMap,TestMapSerialization
JacksonDatabind_11,TypeFactory,TestLocalType609|TestJavaType
JacksonDatabind_12,AnnotatedClass|MapDeserializer,TestCustomDeserializers
JacksonDatabind_13,CreatorCollector|PropertyName|MapperConfigBase|ObjectIdValueProperty|DefaultDeserializationContext|AnnotatedField|AnnotatedMethod|ClassUtil|ReadableObjectId|SerializationConfig,TestObjectIdDeserialization
JacksonDatabind_14,ObjectReader,TestUpdateValue
JacksonDatabind_15,BasicClassIntrospector|BeanSerializerBuilder|StdDelegatingSerializer|StdSerializer|ArrayType|SimpleType|JsonMappingException|TypeFactory|BeanSerializerFactory|AnnotatedClass|JacksonAnnotationIntrospector|MapLikeType|DeserializationContext|BeanSerializerBase|BasicBeanDescription,TestConvertingSerializer
JacksonDatabind_16,AnnotationMap|BasicBeanDescription|MapperConfigBase|AnnotatedWithParams,MixinsWithBundlesTest
JacksonDatabind_17,ArrayType|ObjectMapper,TestJsonNode
JacksonDatabind_18,SerializerProvider|CreatorProperty|BasicDeserializerFactory|BeanPropertyMap|AnnotatedClass|DeserializationConfig|MappingIterator|JacksonAnnotationIntrospector|CollectionLikeType|JsonValueSerializer,ReadRecoveryTest
JacksonDatabind_22,BeanSerializerFactory|ClassUtil|DeserializationConfig|BasicSerializerFactory|BeanSerializerBase,TestJsonValue
JacksonDatabind_24,BaseSettings|JacksonAnnotationIntrospector,TestConfig
JacksonDatabind_25,DeserializerCache|JavaType|BasicDeserializerFactory|JsonMappingException|BeanPropertyMap|POJOPropertyBuilder|AnnotatedField|StdKeyDeserializer|DeserializerFactoryConfig,TestArrayDeserialization
JacksonDatabind_27,SerializationConfig|BeanDeserializer,TestExternalId
JacksonDatabind_28,MapDeserializer|JsonNodeDeserializer|ObjectWriter|AnnotatedMember|EnumMapDeserializer,TestObjectNode
JacksonDatabind_30,TokenBuffer|POJOPropertyBuilder|PropertyName,TestExternalId
JacksonDatabind_33,JacksonAnnotationIntrospector,TestUnwrapped
JacksonDatabind_35,AsWrapperTypeDeserializer|DeserializerFactoryConfig|POJOPropertyBuilder,WrapperObjectWithObjectIdTest
JacksonDatabind_39,DateSerializer|LinkedNode|IndexedListSerializer|TypeWrappedSerializer|NullifyingDeserializer,TestPolymorphicWithDefaultImpl
JacksonDatabind_46,PropertyName|SettableBeanProperty|TypeFactory|ReferenceType|BeanSerializerBase,TestJavaType
JacksonDatabind_49,SetterlessProperty|AnnotatedMethodMap|WritableObjectId|UnresolvedForwardReference|StdDeserializer|ContainerSerializer|DefaultDeserializationContext|AnnotatedField|ObjectIdInfo|ObjectIdReader,AlwaysAsReferenceFirstTest
JacksonDatabind_84,ResolvedRecursiveType|NullNode|ClassStack|POJONode,TestTypeFactoryWithRecursiveTypes
JacksonDatabind_86,ResolvedRecursiveType|NullNode|ClassStack|POJONode,RecursiveTypeTest|TestTypeFactoryWithRecursiveTypes
JacksonXml_1,FromXmlParser,NestedUnwrappedLists180Test|NestedUnwrappedListsTest
JacksonXml_2,XmlTokenStream,XmlTextTest
JacksonXml_3,FromXmlParser,XmlParserNextXxxTest
JacksonXml_4,XmlSerializerProvider,RootNameTest
JacksonXml_5,XmlSerializerProvider,MapperCopyTest
Jsoup_1,Document,ParserTest
Jsoup_8,Node,ElementTest
Jsoup_14,Tokeniser,ParserTest
Jsoup_19,Whitelist,CleanerTest
Jsoup_21,Element|QueryParser,SelectorTest
Jsoup_23,Selector|Tokeniser,EntitiesTest
Jsoup_35,Token,HtmlParserTest
Jsoup_38,Token,HtmlParserTest
Jsoup_44,Element|TextNode|TreeBuilder,HtmlParserTest
Jsoup_46,Entities,DocumentTest
Jsoup_49,Node,ElementTest
Jsoup_51,CharacterReader,HtmlParserTest
Jsoup_53,TokenQueue,SelectorTest
Jsoup_57,TokenQueue|Attributes,ElementTest
Jsoup_59,Token,CleanerTest|HtmlParserTest
Jsoup_62,HtmlTreeBuilderState,HtmlParserTest
Jsoup_64,HtmlTreeBuilderState,HtmlParserTest
Jsoup_74,StringUtil,ElementTest
Jsoup_75,Attributes,ElementTest
Jsoup_78,DataUtil,ConnectTest
Jsoup_79,LeafNode|CharacterReader,TextNodeTest
Jsoup_82,Node|DataUtil,HtmlParserTest
Jsoup_83,Document|CharacterReader,TokeniserStateTest|HtmlParserTest
Jsoup_86,Comment,XmlTreeBuilderTest
